id,price_doc
30474,5667231.5
30475,8626848.0
30476,5893642.5
30477,6421949.0
30478,5566206.0
30479,9351556.0
30480,4168064.0
30481,4202521.0
30482,5126203.5
30483,4949125.0
30484,6782464.5
30485,5504401.5
30486,4018429.0
30487,4262725.5
30488,6764705.5
30489,6088120.5
30490,22386090.0
30491,18143810.0
30492,6112437.5
30493,14894964.0
30494,6989206.0
30495,11726016.0
30496,8528202.0
30497,8952330.0
30498,5031561.0
30499,7739780.0
30500,11729558.0
30501,7407111.0
30502,3461468.75
30503,7252624.5
30504,6374421.0
30505,11442226.0
30506,3450998.5
30507,5249916.0
30508,5267609.5
30509,8147933.0
30510,9784678.0
30511,6635397.0
30512,6623443.0
30513,4184997.75
30514,4130554.5
30515,10203660.0
30516,6061815.0
30517,10975390.0
30518,8780442.0
30519,4989137.0
30520,7079538.5
30521,6070461.5
30522,7605424.0
30523,7322891.0
30524,11204154.0
30525,9376764.0
30526,5356154.0
30527,4799072.5
30528,6727937.5
30529,6952043.5
30530,6860033.0
30531,14596874.0
30532,4859854.0
30533,11101310.0
30534,7333115.5
30535,10088776.0
30536,5543853.0
30537,12642230.0
30538,5379248.0
30539,9983946.0
30540,10140586.0
30541,5711844.0
30542,1804756.375
30543,6499666.5
30544,7412493.0
30545,9648126.0
30546,4199183.0
30547,9681496.0
30548,4563971.0
30549,5852308.5
30550,12657878.0
30551,5588034.5
30552,1702186.375
30553,7811190.0
30554,10995484.0
30555,6233522.0
30556,9929170.0
30557,8165029.5
30558,9093694.0
30559,7145039.5
30560,6607206.0
30561,7530290.0
30562,12887136.0
30563,5236355.0
30564,7635671.5
30565,6988543.5
30566,7224597.5
30567,1810854.625
30568,10500028.0
30569,10730832.0
30570,7135106.5
30571,7945675.5
30572,5509202.5
30573,6964883.0
30574,6987738.0
30575,8458562.0
30576,5355249.5
30577,4556410.5
30578,3545892.5
30579,7432168.0
30580,4880345.5
30581,6051575.5
30582,13974172.0
30583,7413596.5
30584,4684758.5
30585,2798127.0
30586,9519764.0
30587,5954009.5
30588,9240516.0
30589,8478274.0
30590,12830448.0
30591,5560672.5
30592,7179317.5
30593,8290521.0
30594,7959241.0
30595,6399553.0
30596,6776553.5
30597,6971304.5
30598,10246984.0
30599,12439604.0
30600,5368677.0
30601,6686187.0
30602,1763952.375
30603,12625946.0
30604,4863320.5
30605,7125452.5
30606,19487504.0
30607,6902655.5
30608,8451206.0
30609,6194344.5
30610,2985671.25
30611,5317524.5
30612,7918575.5
30613,8730942.0
30614,17726140.0
30615,8260675.0
30616,5508915.0
30617,9961170.0
30618,5345576.5
30619,4593094.0
30620,2807909.5
30621,9544188.0
30622,10296922.0
30623,6467709.5
30624,6944431.0
30625,8165396.0
30626,7091614.0
30627,7901105.5
30628,6909836.5
30629,5710739.0
30630,5259320.5
30631,6469300.0
30632,4462644.0
30633,6423648.5
30634,11881736.0
30635,10199204.0
30636,5643728.5
30637,10218018.0
30638,6758917.5
30639,8724510.0
30640,4747194.0
30641,8552018.0
30642,7075463.5
30643,8295591.0
30644,10246984.0
30645,7795935.5
30646,5609802.0
30647,5106403.5
30648,25012902.0
30649,2408719.75
30650,5384136.5
30651,3623839.0
30652,4718997.0
30653,8036328.5
30654,4793109.0
30655,14591454.0
30656,3926707.5
30657,6732922.0
30658,11087652.0
30659,5435584.5
30660,9007848.0
30661,7281049.5
30662,8944862.0
30663,19090552.0
30664,13445510.0
30665,6598989.5
30666,2847225.25
30667,4616424.5
30668,9683148.0
30669,5240417.0
30670,2681596.25
30671,7945099.0
30672,17131970.0
30673,10779606.0
30674,12401836.0
30675,1849901.625
30676,7605803.5
30677,4603501.0
30678,21511736.0
30679,6332897.0
30680,5005216.0
30681,2388783.5
30682,9392556.0
30683,10412848.0
30684,5917501.0
30685,7074448.5
30686,10136330.0
30687,5555620.0
30688,5323770.5
30689,16550292.0
30690,26896582.0
30691,5089419.0
30692,7000287.5
30693,12811974.0
30694,6160129.5
30695,7996974.0
30696,7321938.5
30697,13262542.0
30698,8115069.5
30699,6125291.0
30700,5458985.0
30701,10173932.0
30702,6724931.0
30703,3908039.5
30704,12463980.0
30705,10168510.0
30706,26068292.0
30707,3919487.75
30708,14283938.0
30709,6289407.0
30710,6187239.5
30711,4662462.5
30712,4128749.5
30713,8469928.0
30714,8035171.5
30715,3806716.75
30716,10396818.0
30717,7303918.5
30718,9718660.0
30719,14145140.0
30720,7165989.0
30721,5628091.5
30722,7325395.5
30723,6515608.5
30724,12689010.0
30725,7059158.5
30726,12453154.0
30727,10210608.0
30728,11912452.0
30729,3343124.25
30730,6602225.0
30731,6274428.5
30732,4645685.5
30733,10810512.0
30734,7821983.5
30735,5125054.0
30736,5681295.5
30737,6665878.5
30738,6763068.5
30739,4867715.0
30740,7326740.5
30741,11956284.0
30742,4251679.0
30743,5467606.5
30744,9928302.0
30745,7545459.5
30746,5464643.5
30747,16738858.0
30748,17518086.0
30749,5708537.0
30750,6413782.5
30751,3404125.0
30752,7959810.5
30753,10511514.0
30754,5593733.5
30755,5108693.0
30756,7746008.5
30757,5525291.5
30758,11204954.0
30759,6648197.5
30760,4866470.5
30761,9628394.0
30762,7137014.0
30763,12691918.0
30764,6170294.0
30765,6103912.5
30766,3945178.25
30767,10520770.0
30768,4950347.0
30769,7015660.5
30770,6601684.0
30771,3188024.5
30772,8906412.0
30773,7950573.0
30774,6085490.0
30775,13535700.0
30776,6276921.0
30777,6169315.0
30778,9715752.0
30779,7186753.5
30780,8270550.0
30781,7090895.0
30782,5617837.0
30783,5463906.5
30784,3796180.0
30785,5951960.5
30786,4054157.5
30787,6554276.0
30788,5452707.0
30789,7876983.5
30790,7004374.0
30791,11001782.0
30792,7961413.5
30793,12209280.0
30794,14367686.0
30795,12078264.0
30796,12420606.0
30797,15583514.0
30798,2926501.5
30799,11321314.0
30800,13597622.0
30801,6277869.5
30802,21251522.0
30803,2894937.75
30804,3896396.5
30805,15318214.0
30806,8010153.5
30807,6508571.5
30808,11841562.0
30809,5066961.5
30810,11966736.0
30811,4401399.0
30812,5797443.0
30813,5632713.5
30814,2804825.25
30815,4398617.5
30816,8505932.0
30817,1656229.125
30818,8537828.0
30819,8004807.5
30820,5726219.0
30821,26230934.0
30822,10283484.0
30823,8317182.5
30824,3620438.75
30825,5218316.0
30826,12549720.0
30827,5154411.0
30828,5706745.5
30829,6025680.5
30830,9168404.0
30831,6503025.0
